"id","short","name","creation","update"
"1","Berlin","Berlin","2012-12-20 02:00:14","2012-12-20 02:00:14","1"
"2","Cologne","Cologne","2012-12-20 02:07:42","2012-12-20 02:07:42","2"
"3","Frankfurt","Frankfurt","2013-01-22 01:32:55","2013-01-22 01:32:55","3"
"4","Hamburg","Hamburg","2013-01-22 01:42:07","2013-01-22 01:42:07","4"
"5","Amsterdam","Amsterdam","2013-01-22 01:49:24","2013-01-22 01:49:24","5"
"6","Utrecht","Utrecht","2013-01-22 01:51:20","2013-01-22 01:51:20","6"
"7","The Hague","The Hague","2013-01-22 01:52:23","2013-01-22 01:52:23","7"
"8","Brugge","Brugge","2013-01-22 01:53:42","2013-01-22 01:53:42","8"
"9","Isla Mujeres","Isla Mujeres","2013-01-22 01:53:46","2013-01-22 01:53:46","9"
"10","City of Brussels","City of Brussels","2013-01-22 01:53:55","2013-01-22 01:53:55","10"
"11","Paris","Paris","2013-01-22 01:55:27","2013-01-22 01:55:27","11"
"12","London","London","2013-01-22 01:55:47","2013-01-22 01:55:47","12"
"13","Liverpool","Liverpool","2013-01-22 01:56:08","2013-01-22 01:56:08","12"
"14","Madrid","Madrid","2013-01-22 01:56:25","2013-01-22 01:56:25","13"
"15","","","2013-01-22 01:56:43","2013-01-22 01:56:43","9"
"16","Barcelona","Barcelona","2013-01-22 01:56:43","2013-01-22 01:56:43","14"
"17","Zurich","Zurich","2013-01-22 01:56:57","2013-01-22 01:56:57","7"
"18","Lugano","Lugano","2013-01-22 01:57:15","2013-01-22 01:57:15","15"
"19","Milan","Milan","2013-01-22 01:57:28","2013-01-22 01:57:28","16"
"20","Pisa","Pisa","2013-01-22 01:57:39","2013-01-22 01:57:39","17"
"21","Florence","Florence","2013-01-22 01:57:52","2013-01-22 01:57:52","17"
"22","Rome","Rome","2013-01-22 01:58:07","2013-01-22 01:58:07","18"
"23","Cozumel","Cozumel","2013-01-22 01:58:27","2013-01-22 01:58:27","9"
"24","Naples","Naples","2013-01-22 01:58:41","2013-01-22 01:58:41","19"
"25","Venice","Venice","2013-01-22 01:59:01","2013-01-22 01:59:01","20"
"26","Playa del Carmen","Playa del Carmen","2013-01-22 01:59:05","2013-01-22 01:59:05","9"
"27","Vienna","Vienna","2013-01-22 01:59:20","2013-01-22 01:59:20","21"
"28","Prague","Prague","2013-01-22 01:59:35","2013-01-22 01:59:35","22"
"29","Munich","Munich","2013-01-22 01:59:51","2013-01-22 01:59:51","23"
