"id","short","name","creation","update"
"1","DE","Germany","2012-12-20 02:00:14","2012-12-20 02:00:14"
"2","NL","The Netherlands","2013-01-22 01:49:24","2013-01-22 01:49:24"
"3","BE","Belgium","2013-01-22 01:53:42","2013-01-22 01:53:42"
"4","MX","Mexico","2013-01-22 01:53:46","2013-01-22 01:53:46"
"5","FR","France","2013-01-22 01:55:27","2013-01-22 01:55:27"
"6","GB","United Kingdom","2013-01-22 01:55:47","2013-01-22 01:55:47"
"7","ES","Spain","2013-01-22 01:56:25","2013-01-22 01:56:25"
"8","CH","Switzerland","2013-01-22 01:56:57","2013-01-22 01:56:57"
"9","IT","Italy","2013-01-22 01:57:28","2013-01-22 01:57:28"
"10","AT","Austria","2013-01-22 01:59:20","2013-01-22 01:59:20"
"11","CZ","Czech Republic","2013-01-22 01:59:35","2013-01-22 01:59:35"
"12","DO","Dominican Republic","2013-01-22 02:00:27","2013-01-22 02:00:27"
"13","AR","Argentina","2013-01-29 14:59:47","2013-01-29 14:59:47"
"14","BR","Brazil","2013-01-30 18:25:14","2013-01-30 18:25:14"
"15","US","United States","2013-02-05 00:53:17","2013-02-05 00:53:17"
"16","CO","Colombia","2013-02-08 22:21:30","2013-02-08 22:21:30"
"17","IL","Israel","2013-03-05 14:21:26","2013-03-05 14:21:26"
"18","","","2013-03-05 14:27:45","2013-03-05 14:27:45"
"19","JO","Jordan","2013-03-05 14:33:59","2013-03-05 14:33:59"
"20","RU","Russia","2013-03-23 14:01:42","2013-03-23 14:01:42"
"21","PT","Portugal","2013-03-23 14:11:52","2013-03-23 14:11:52"
"22","VA","Vatican City","2013-05-12 18:33:09","2013-05-12 18:33:09"
"23","SE","Sweden","2013-08-01 10:47:15","2013-08-01 10:47:15"
